2019 KS5 excel and csv download data files: field names and descriptions,,,,,,
 '.' indicates that a field is intentionally null/blank,,,,,,
"Note: retention, and completion and attainment data will be made available in March.",,,,,,
,,,,,,
Column,Field Name,Field description,Null/blank field for Rectype 1,Null/blank field for Rectype 3,Null/blank field for Rectype 4,Null/blank field for Rectype 5 or 7
HZ,T_AIMS_TLEV_18,This is a historical variable. It holds the 2018 value of the corresponding variable. Please see the current variable for the variable description.,,,.,.
IA,T_AIMS_TLEV_17,This is a historical variable. It holds the 2017 value of the corresponding variable. Please see the current variable for the variable description.,.,.,.,.
IB,CA_SCORE_TLEV_18,This is a historical variable. It holds the 2018 value of the corresponding variable. Please see the current variable for the variable description.,,,,
IC,CA_SCORE_TLEV_17,This is a historical variable. It holds the 2017 value of the corresponding variable. Please see the current variable for the variable description.,.,.,.,.
ID,T_AIMS_TECHCERT_18,This is a historical variable. It holds the 2018 value of the corresponding variable. Please see the current variable for the variable description.,,,.,.
IE,T_AIMS_TECHCERT_17,This is a historical variable. It holds the 2017 value of the corresponding variable. Please see the current variable for the variable description.,.,.,.,.
IF,CA_SCORE_TECHCERT_18,This is a historical variable. It holds the 2018 value of the corresponding variable. Please see the current variable for the variable description.,,,,
IG,CA_SCORE_TECHCERT_17,This is a historical variable. It holds the 2017 value of the corresponding variable. Please see the current variable for the variable description.,.,.,.,.
IH,T_AIMS_CA_18,This is a historical variable. It holds the 2018 value of the corresponding variable. Please see the current variable for the variable description.,.,.,.,.
II,T_AIMS_CA_17,This is a historical variable. It holds the 2017 value of the corresponding variable. Please see the current variable for the variable description.,,,.,.
IJ,CA_SCORE_18,This is a historical variable. It holds the 2018 value of the corresponding variable. Please see the current variable for the variable description.,.,.,.,.
IK,CA_SCORE_17,This is a historical variable. It holds the 2017 value of the corresponding variable. Please see the current variable for the variable description.,,,,
IL,T_SCOPEEX_E_18,This is a historical variable. It holds the 2018 value of the corresponding variable. Please see the current variable for the variable description.,,,.,.
IM,T_SCOPEEX_E_17,This is a historical variable. It holds the 2017 value of the corresponding variable. Please see the current variable for the variable description.,,,.,.
IN,PROGEX_E_18,This is a historical variable. It holds the 2018 value of the corresponding variable. Please see the current variable for the variable description.,,,,
IO,PROGEX_E_17,This is a historical variable. It holds the 2017 value of the corresponding variable. Please see the current variable for the variable description.,,,,
IP,T_SCOPEEX_M_18,This is a historical variable. It holds the 2018 value of the corresponding variable. Please see the current variable for the variable description.,,,.,.
IQ,T_SCOPEEX_M_17,This is a historical variable. It holds the 2017 value of the corresponding variable. Please see the current variable for the variable description.,,,.,.
IR,PROGEX_M_18,This is a historical variable. It holds the 2018 value of the corresponding variable. Please see the current variable for the variable description.,,,,
IS,PROGEX_M_17,This is a historical variable. It holds the 2017 value of the corresponding variable. Please see the current variable for the variable description.,,,,
IT,ENTRIES_ALEV_18,This is a historical variable. It holds the 2018 value of the corresponding variable. Please see the current variable for the variable description.,,,,
IU,ENTRIES_ALEV_17,This is a historical variable. It holds the 2017 value of the corresponding variable. Please see the current variable for the variable description.,,,,
IV,VA_INS_ALEV_18,This is a historical variable. It holds the 2018 value of the corresponding variable. Please see the current variable for the variable description.,,,,
IW,VA_INS_ALEV_17,This is a historical variable. It holds the 2017 value of the corresponding variable. Please see the current variable for the variable description.,,,,
IX,PROGRESS_BAND_ALEV_18,This is a historical variable. It holds the 2018 value of the corresponding variable. Please see the current variable for the variable description.,,,,
